tree_id,species,age_years,dbh_cm,db_cm,dm_cm,dt_cm,total_height_m,merch_height_m,bole_height_m,crown_diameter_m,crown_length_m,crown_projection_area_m2,crown_ratio,basal_area_m2,total_volume_m3,merch_volume_m3,agb_kg,natural_form_factor
77,Tectona_grandis,30,35.0,49.4,26.0,20.0,29.2,14.4,14.099999999999998,7.65,14.8,0.004596942375,0.5068493150684932,0.09622375,13.257354799999998,6.537873599999999,1775.5990471819612,4.718367346938775
78,Tectona_grandis,30,32.3,48.0,32.0,30.0,32.9,16.9,16.599999999999998,6.4,16.0,0.0032174080000000006,0.48632218844984804,0.08195042949999998,17.74549233333333,9.115465666666665,1596.3572880752092,6.581743011690583
79,Tectona_grandis,30,44.0,68.0,34.0,24.0,36.4,19.4,19.099999999999998,7.2,17.0,0.004072032,0.46703296703296704,0.15207279999999998,21.730072,11.581412,3032.4629323210015,3.9256198347107447
80,Tectona_grandis,30,46.0,71.5,35.0,23.0,36.8,20.0,19.699999999999996,8.9,16.8,0.0062219455,0.4565217391304348,0.16621179999999997,22.59516933333333,12.279983333333334,3325.9164134917114,3.694076874606176
81,Tectona_grandis,30,46.0,63.0,33.0,26.0,29.8,15.4,15.1,7.9,14.4,0.0049023055,0.48322147651006714,0.16621179999999997,17.243819666666667,8.911235666666668,2939.442775560113,3.4814114681789543
82,Tectona_grandis,30,44.7,68.0,27.0,22.0,29.5,15.0,14.7,7.35,14.5,0.004243467374999999,0.4915254237288136,0.1569499695,15.293685000000002,7.7764500000000005,3079.539870608587,3.3031545125594945
83,Tectona_grandis,30,42.0,59.3,38.0,25.0,30.2,15.6,15.299999999999999,6.85,14.6,0.0036857623749999993,0.48344370860927155,0.1385622,18.685107433333332,9.6519098,2535.4186350426535,4.465230536659107
84,Tectona_grandis,30,31.0,46.0,26.0,22.0,29.3,11.2,10.8,6.8,18.2,0.0036321519999999996,0.6211604095563139,0.07548655,13.195352666666667,5.043957333333332,1471.220090220715,5.966007630939993
85,Tectona_grandis,30,35.2,46.0,28.0,22.0,28.4,14.4,14.099999999999998,6.55,14.0,0.003369991375,0.49295774647887325,0.09732659200000002,13.38492,6.78672,1665.4602554427709,4.84245867768595
86,Tectona_grandis,30,38.0,52.2,36.0,24.0,31.8,16.6,16.3,5.3,15.2,0.0022064694999999997,0.47798742138364775,0.11342619999999999,18.3345126,9.570846200000002,2030.3559900533342,5.083102493074793
